Experiment,Date,Week,Table.no,Sample.ID,Block,Coral.treatment,Algal.treatment,Colony.ID,Reading,Yield
Coral_algal_contact,3/7/22,1,Table 1,AP-TM-1,1,Acropora pulchra,Turf mimic,Acropora pulchra-1,430,0.43
Coral_algal_contact,3/7/22,1,Table 1,AP-AM-1,1,Acropora pulchra,Amansia,Acropora pulchra-1,389,0.389
Coral_algal_contact,3/7/22,1,Table 1,AP-SP-1,1,Acropora pulchra,S punctatus turf,Acropora pulchra-1,313,0.313
Coral_algal_contact,3/7/22,1,Table 1,AP-E-1,1,Acropora pulchra,Empty,Acropora pulchra-1,401,0.401
Coral_algal_contact,3/7/22,1,Table 1,AP-SN-1,1,Acropora pulchra,S nigricans turf,Acropora pulchra-1,331,0.331
Coral_algal_contact,3/7/22,1,Table 1,AP-MM-1,1,Acropora pulchra,Macroalgae mimic,Acropora pulchra-1,435,0.435
Coral_algal_contact,3/7/22,1,Table 1,AP-SG-1,1,Acropora pulchra,Sargassum,Acropora pulchra-1,397,0.397
Coral_algal_contact,3/7/22,1,Table 1,AP-SN-2,2,Acropora pulchra,S nigricans turf,Acropora pulchra-2,427,0.427
Coral_algal_contact,3/7/22,1,Table 1,AP-MM-2,2,Acropora pulchra,Macroalgae mimic,Acropora pulchra-2,547,0.547
Coral_algal_contact,3/7/22,1,Table 1,AP-AM-2,2,Acropora pulchra,Amansia,Acropora pulchra-2,528,0.528
Coral_algal_contact,3/7/22,1,Table 1,AP-SP-2,2,Acropora pulchra,S punctatus turf,Acropora pulchra-2,286,0.286
Coral_algal_contact,3/7/22,1,Table 1,AP-SG-2,2,Acropora pulchra,Sargassum,Acropora pulchra-2,478,0.478
Coral_algal_contact,3/7/22,1,Table 1,AP-TM-2,2,Acropora pulchra,Turf mimic,Acropora pulchra-2,503,0.503
Coral_algal_contact,3/7/22,1,Table 1,AP-E-2,2,Acropora pulchra,Empty,Acropora pulchra-2,430,0.43
Coral_algal_contact,3/7/22,1,Table 1,AP-AM-3,3,Acropora pulchra,Amansia,Acropora pulchra-3,522,0.522
Coral_algal_contact,3/7/22,1,Table 1,AP-MM-3,3,Acropora pulchra,Macroalgae mimic,Acropora pulchra-3,559,0.559
Coral_algal_contact,3/7/22,1,Table 1,AP-SG-3,3,Acropora pulchra,Sargassum,Acropora pulchra-3,374,0.374
Coral_algal_contact,3/7/22,1,Table 1,AP-SN-3,3,Acropora pulchra,S nigricans turf,Acropora pulchra-3,418,0.418
Coral_algal_contact,3/7/22,1,Table 1,AP-E-3,3,Acropora pulchra,Empty,Acropora pulchra-3,479,0.479
Coral_algal_contact,3/7/22,1,Table 1,AP-TM-3,3,Acropora pulchra,Turf mimic,Acropora pulchra-3,523,0.523
Coral_algal_contact,3/7/22,1,Table 1,AP-SP-3,3,Acropora pulchra,S punctatus turf,Acropora pulchra-3,443,0.443
Coral_algal_contact,3/7/22,1,Table 1,AP-SN-4,4,Acropora pulchra,S nigricans turf,Acropora pulchra-4,349,0.349
Coral_algal_contact,3/7/22,1,Table 1,AP-MM-4,4,Acropora pulchra,Macroalgae mimic,Acropora pulchra-4,88,0.088
Coral_algal_contact,3/7/22,1,Table 1,AP-E-4,4,Acropora pulchra,Empty,Acropora pulchra-4,514,0.514
Coral_algal_contact,3/7/22,1,Table 1,AP-AM-4,4,Acropora pulchra,Amansia,Acropora pulchra-4,520,0.52
Coral_algal_contact,3/7/22,1,Table 1,AP-TM-4,4,Acropora pulchra,Turf mimic,Acropora pulchra-4,521,0.521
Coral_algal_contact,3/7/22,1,Table 1,AP-SP-4,4,Acropora pulchra,S punctatus turf,Acropora pulchra-4,360,0.36
Coral_algal_contact,3/7/22,1,Table 1,AP-SG-4,4,Acropora pulchra,Sargassum,Acropora pulchra-4,479,0.479
Coral_algal_contact,3/7/22,1,Table 1,AP-SP-5,5,Acropora pulchra,S punctatus turf,Acropora pulchra-5,442,0.442
Coral_algal_contact,3/7/22,1,Table 1,AP-TM-5,5,Acropora pulchra,Turf mimic,Acropora pulchra-5,447,0.447
Coral_algal_contact,3/7/22,1,Table 1,AP-AM-5,5,Acropora pulchra,Amansia,Acropora pulchra-5,514,0.514
Coral_algal_contact,3/7/22,1,Table 1,AP-E-5,5,Acropora pulchra,Empty,Acropora pulchra-5,403,0.403
Coral_algal_contact,3/7/22,1,Table 1,AP-SN-5,5,Acropora pulchra,S nigricans turf,Acropora pulchra-5,363,0.363
Coral_algal_contact,3/7/22,1,Table 1,AP-MM-5,5,Acropora pulchra,Macroalgae mimic,Acropora pulchra-5,453,0.453
Coral_algal_contact,3/7/22,1,Table 1,AP-SG-5,5,Acropora pulchra,Sargassum,Acropora pulchra-5,470,0.47
Coral_algal_contact,3/7/22,1,Table 1,AP-SP-6,6,Acropora pulchra,S punctatus turf,Acropora pulchra-6,316,0.316
Coral_algal_contact,3/7/22,1,Table 1,AP-AM-6,6,Acropora pulchra,Amansia,Acropora pulchra-6,407,0.407
Coral_algal_contact,3/7/22,1,Table 1,AP-MM-6,6,Acropora pulchra,Macroalgae mimic,Acropora pulchra-6,496,0.496
Coral_algal_contact,3/7/22,1,Table 1,AP-E-6,6,Acropora pulchra,Empty,Acropora pulchra-6,506,0.506
Coral_algal_contact,3/7/22,1,Table 1,AP-TM-6,6,Acropora pulchra,Turf mimic,Acropora pulchra-6,437,0.437
Coral_algal_contact,3/7/22,1,Table 1,AP-SG-6,6,Acropora pulchra,Sargassum,Acropora pulchra-6,404,0.404
Coral_algal_contact,3/7/22,1,Table 1,AP-SN-6,6,Acropora pulchra,S nigricans turf,Acropora pulchra-6,305,0.305
Coral_algal_contact,3/7/22,1,Table 1,AP-SG-7,7,Acropora pulchra,Sargassum,Acropora pulchra-7,344,0.344
Coral_algal_contact,3/7/22,1,Table 1,AP-SN-7,7,Acropora pulchra,S nigricans turf,Acropora pulchra-7,321,0.321
Coral_algal_contact,3/7/22,1,Table 1,AP-E-7,7,Acropora pulchra,Empty,Acropora pulchra-7,407,0.407
Coral_algal_contact,3/8/22,1,Table 2,AP-TM-7,7,Acropora pulchra,Turf mimic,Acropora pulchra-7,497,0.497
Coral_algal_contact,3/8/22,1,Table 2,AP-MM-7,7,Acropora pulchra,Macroalgae mimic,Acropora pulchra-7,614,0.614
Coral_algal_contact,3/8/22,1,Table 2,AP-AM-7,7,Acropora pulchra,Amansia,Acropora pulchra-7,512,0.512
Coral_algal_contact,3/8/22,1,Table 2,AP-SP-7,7,Acropora pulchra,S punctatus turf,Acropora pulchra-7,370,0.37
Coral_algal_contact,3/8/22,1,Table 2,AP-TM-8,8,Acropora pulchra,Turf mimic,Acropora pulchra-8,526,0.526
Coral_algal_contact,3/8/22,1,Table 2,AP-AM-8,8,Acropora pulchra,Amansia,Acropora pulchra-8,592,0.592
Coral_algal_contact,3/8/22,1,Table 2,AP-SN-8,8,Acropora pulchra,S nigricans turf,Acropora pulchra-8,477,0.477
Coral_algal_contact,3/8/22,1,Table 2,AP-SP-8,8,Acropora pulchra,S punctatus turf,Acropora pulchra-8,445,0.445
Coral_algal_contact,3/8/22,1,Table 2,AP-SG-8,8,Acropora pulchra,Sargassum,Acropora pulchra-8,569,0.569
Coral_algal_contact,3/8/22,1,Table 2,AP-E-8,8,Acropora pulchra,Empty,Acropora pulchra-8,497,0.497
Coral_algal_contact,3/8/22,1,Table 2,AP-MM-8,8,Acropora pulchra,Macroalgae mimic,Acropora pulchra-8,509,0.509
Coral_algal_contact,3/8/22,1,Table 2,AP-SG-9,9,Acropora pulchra,Sargassum,Acropora pulchra-9,452,0.452
Coral_algal_contact,3/8/22,1,Table 2,AP-TM-9,9,Acropora pulchra,Turf mimic,Acropora pulchra-9,459,0.459
Coral_algal_contact,3/8/22,1,Table 2,AP-AM-9,9,Acropora pulchra,Amansia,Acropora pulchra-9,488,0.488
Coral_algal_contact,3/8/22,1,Table 2,AP-SP-9,9,Acropora pulchra,S punctatus turf,Acropora pulchra-9,394,0.394
Coral_algal_contact,3/8/22,1,Table 2,AP-MM-9,9,Acropora pulchra,Macroalgae mimic,Acropora pulchra-9,522,0.522
Coral_algal_contact,3/8/22,1,Table 2,AP-SN-9,9,Acropora pulchra,S nigricans turf,Acropora pulchra-9,441,0.441
Coral_algal_contact,3/8/22,1,Table 2,AP-E-9,9,Acropora pulchra,Empty,Acropora pulchra-9,462,0.462
Coral_algal_contact,3/8/22,1,Table 2,AP-SN-10,10,Acropora pulchra,S nigricans turf,Acropora pulchra-10,261,0.261
Coral_algal_contact,3/8/22,1,Table 2,AP-SP-10,10,Acropora pulchra,S punctatus turf,Acropora pulchra-10,317,0.317
Coral_algal_contact,3/8/22,1,Table 2,AP-E-10,10,Acropora pulchra,Empty,Acropora pulchra-10,490,0.49
Coral_algal_contact,3/8/22,1,Table 2,AP-MM-10,10,Acropora pulchra,Macroalgae mimic,Acropora pulchra-10,522,0.522
Coral_algal_contact,3/8/22,1,Table 2,AP-AM-10,10,Acropora pulchra,Amansia,Acropora pulchra-10,470,0.47
Coral_algal_contact,3/8/22,1,Table 2,AP-TM-10,10,Acropora pulchra,Turf mimic,Acropora pulchra-10,475,0.475
Coral_algal_contact,3/8/22,1,Table 2,AP-SG-10,10,Acropora pulchra,Sargassum,Acropora pulchra-10,430,0.43
Coral_algal_contact,3/8/22,1,Table 2,AP-MM-11,11,Acropora pulchra,Macroalgae mimic,Acropora pulchra-11,495,0.495
Coral_algal_contact,3/8/22,1,Table 2,AP-SP-11,11,Acropora pulchra,S punctatus turf,Acropora pulchra-11,356,0.356
Coral_algal_contact,3/8/22,1,Table 2,AP-AM-11,11,Acropora pulchra,Amansia,Acropora pulchra-11,414,0.414
Coral_algal_contact,3/8/22,1,Table 2,AP-TM-11,11,Acropora pulchra,Turf mimic,Acropora pulchra-11,494,0.494
Coral_algal_contact,3/8/22,1,Table 2,AP-SN-11,11,Acropora pulchra,S nigricans turf,Acropora pulchra-11,335,0.335
Coral_algal_contact,3/8/22,1,Table 2,AP-E-11,11,Acropora pulchra,Empty,Acropora pulchra-11,421,0.421
Coral_algal_contact,3/8/22,1,Table 2,AP-SG-11,11,Acropora pulchra,Sargassum,Acropora pulchra-11,488,0.488
Coral_algal_contact,3/8/22,1,Table 2,AP-SP-12,12,Acropora pulchra,S punctatus turf,Acropora pulchra-12,342,0.342
Coral_algal_contact,3/8/22,1,Table 2,AP-SN-12,12,Acropora pulchra,S nigricans turf,Acropora pulchra-12,382,0.382
Coral_algal_contact,3/8/22,1,Table 2,AP-SG-12,12,Acropora pulchra,Sargassum,Acropora pulchra-12,490,0.49
Coral_algal_contact,3/8/22,1,Table 2,AP-MM-12,12,Acropora pulchra,Macroalgae mimic,Acropora pulchra-12,420,0.42
Coral_algal_contact,3/8/22,1,Table 2,AP-E-12,12,Acropora pulchra,Empty,Acropora pulchra-12,473,0.473
Coral_algal_contact,3/8/22,1,Table 2,AP-TM-12,12,Acropora pulchra,Turf mimic,Acropora pulchra-12,442,0.442
Coral_algal_contact,3/8/22,1,Table 2,AP-AM-12,12,Acropora pulchra,Amansia,Acropora pulchra-12,466,0.466
Coral_algal_contact,3/15/22,2,Table 1,AP-TM-1,1,Acropora pulchra,Turf mimic,Acropora pulchra-1,528,0.528
Coral_algal_contact,3/15/22,2,Table 1,AP-AM-1,1,Acropora pulchra,Amansia,Acropora pulchra-1,304,0.304
Coral_algal_contact,3/15/22,2,Table 1,AP-SP-1,1,Acropora pulchra,S punctatus turf,Acropora pulchra-1,296,0.296
Coral_algal_contact,3/15/22,2,Table 1,AP-E-1,1,Acropora pulchra,Empty,Acropora pulchra-1,509,0.509
Coral_algal_contact,3/15/22,2,Table 1,AP-SN-1,1,Acropora pulchra,S nigricans turf,Acropora pulchra-1,293,0.293
Coral_algal_contact,3/15/22,2,Table 1,AP-MM-1,1,Acropora pulchra,Macroalgae mimic,Acropora pulchra-1,477,0.477
Coral_algal_contact,3/15/22,2,Table 1,AP-SG-1,1,Acropora pulchra,Sargassum,Acropora pulchra-1,284,0.284
Coral_algal_contact,3/15/22,2,Table 1,AP-SN-2,2,Acropora pulchra,S nigricans turf,Acropora pulchra-2,302,0.302
Coral_algal_contact,3/15/22,2,Table 1,AP-MM-2,2,Acropora pulchra,Macroalgae mimic,Acropora pulchra-2,666,0.666
Coral_algal_contact,3/15/22,2,Table 1,AP-AM-2,2,Acropora pulchra,Amansia,Acropora pulchra-2,346,0.346
Coral_algal_contact,3/15/22,2,Table 1,AP-SP-2,2,Acropora pulchra,S punctatus turf,Acropora pulchra-2,302,0.302
Coral_algal_contact,3/15/22,2,Table 1,AP-SG-2,2,Acropora pulchra,Sargassum,Acropora pulchra-2,241,0.241
Coral_algal_contact,3/15/22,2,Table 1,AP-TM-2,2,Acropora pulchra,Turf mimic,Acropora pulchra-2,525,0.525
Coral_algal_contact,3/15/22,2,Table 1,AP-E-2,2,Acropora pulchra,Empty,Acropora pulchra-2,525,0.525
Coral_algal_contact,3/15/22,2,Table 1,AP-AM-3,3,Acropora pulchra,Amansia,Acropora pulchra-3,456,0.456
Coral_algal_contact,3/15/22,2,Table 1,AP-MM-3,3,Acropora pulchra,Macroalgae mimic,Acropora pulchra-3,526,0.526
Coral_algal_contact,3/15/22,2,Table 1,AP-SG-3,3,Acropora pulchra,Sargassum,Acropora pulchra-3,537,0.537
Coral_algal_contact,3/15/22,2,Table 1,AP-SN-3,3,Acropora pulchra,S nigricans turf,Acropora pulchra-3,423,0.423
Coral_algal_contact,3/15/22,2,Table 1,AP-E-3,3,Acropora pulchra,Empty,Acropora pulchra-3,470,0.47
Coral_algal_contact,3/15/22,2,Table 1,AP-TM-3,3,Acropora pulchra,Turf mimic,Acropora pulchra-3,518,0.518
Coral_algal_contact,3/15/22,2,Table 1,AP-SP-3,3,Acropora pulchra,S punctatus turf,Acropora pulchra-3,506,0.506
Coral_algal_contact,3/15/22,2,Table 1,AP-SN-4,4,Acropora pulchra,S nigricans turf,Acropora pulchra-4,318,0.318
Coral_algal_contact,3/15/22,2,Table 1,AP-MM-4,4,Acropora pulchra,Macroalgae mimic,Acropora pulchra-4,422,0.422
Coral_algal_contact,3/15/22,2,Table 1,AP-E-4,4,Acropora pulchra,Empty,Acropora pulchra-4,544,0.544
Coral_algal_contact,3/15/22,2,Table 1,AP-AM-4,4,Acropora pulchra,Amansia,Acropora pulchra-4,341,0.341
Coral_algal_contact,3/15/22,2,Table 1,AP-TM-4,4,Acropora pulchra,Turf mimic,Acropora pulchra-4,594,0.594
Coral_algal_contact,3/15/22,2,Table 1,AP-SP-4,4,Acropora pulchra,S punctatus turf,Acropora pulchra-4,304,0.304
Coral_algal_contact,3/15/22,2,Table 1,AP-SG-4,4,Acropora pulchra,Sargassum,Acropora pulchra-4,437,0.437
Coral_algal_contact,3/15/22,2,Table 1,AP-SP-5,5,Acropora pulchra,S punctatus turf,Acropora pulchra-5,445,0.445
Coral_algal_contact,3/15/22,2,Table 1,AP-TM-5,5,Acropora pulchra,Turf mimic,Acropora pulchra-5,455,0.455
Coral_algal_contact,3/15/22,2,Table 1,AP-AM-5,5,Acropora pulchra,Amansia,Acropora pulchra-5,435,0.435
Coral_algal_contact,3/15/22,2,Table 1,AP-E-5,5,Acropora pulchra,Empty,Acropora pulchra-5,419,0.419
Coral_algal_contact,3/15/22,2,Table 1,AP-SN-5,5,Acropora pulchra,S nigricans turf,Acropora pulchra-5,277,0.277
Coral_algal_contact,3/15/22,2,Table 1,AP-MM-5,5,Acropora pulchra,Macroalgae mimic,Acropora pulchra-5,494,0.494
Coral_algal_contact,3/15/22,2,Table 1,AP-SG-5,5,Acropora pulchra,Sargassum,Acropora pulchra-5,473,0.473
Coral_algal_contact,3/15/22,2,Table 1,AP-SP-6,6,Acropora pulchra,S punctatus turf,Acropora pulchra-6,228,0.228
Coral_algal_contact,3/15/22,2,Table 1,AP-AM-6,6,Acropora pulchra,Amansia,Acropora pulchra-6,466,0.466
Coral_algal_contact,3/15/22,2,Table 1,AP-MM-6,6,Acropora pulchra,Macroalgae mimic,Acropora pulchra-6,525,0.525
Coral_algal_contact,3/15/22,2,Table 1,AP-E-6,6,Acropora pulchra,Empty,Acropora pulchra-6,510,0.51
Coral_algal_contact,3/15/22,2,Table 1,AP-TM-6,6,Acropora pulchra,Turf mimic,Acropora pulchra-6,456,0.456
Coral_algal_contact,3/15/22,2,Table 1,AP-SG-6,6,Acropora pulchra,Sargassum,Acropora pulchra-6,378,0.378
Coral_algal_contact,3/15/22,2,Table 1,AP-SN-6,6,Acropora pulchra,S nigricans turf,Acropora pulchra-6,301,0.301
Coral_algal_contact,3/15/22,2,Table 1,AP-SG-7,7,Acropora pulchra,Sargassum,Acropora pulchra-7,522,0.522
Coral_algal_contact,3/15/22,2,Table 1,AP-SN-7,7,Acropora pulchra,S nigricans turf,Acropora pulchra-7,386,0.386
Coral_algal_contact,3/15/22,2,Table 1,AP-E-7,7,Acropora pulchra,Empty,Acropora pulchra-7,528,0.528
Coral_algal_contact,3/16/22,2,Table 2,AP-TM-7,7,Acropora pulchra,Turf mimic,Acropora pulchra-7,519,0.519
Coral_algal_contact,3/16/22,2,Table 2,AP-MM-7,7,Acropora pulchra,Macroalgae mimic,Acropora pulchra-7,584,0.584
Coral_algal_contact,3/16/22,2,Table 2,AP-AM-7,7,Acropora pulchra,Amansia,Acropora pulchra-7,435,0.435
Coral_algal_contact,3/16/22,2,Table 2,AP-SP-7,7,Acropora pulchra,S punctatus turf,Acropora pulchra-7,310,0.31
Coral_algal_contact,3/16/22,2,Table 2,AP-TM-8,8,Acropora pulchra,Turf mimic,Acropora pulchra-8,513,0.513
Coral_algal_contact,3/16/22,2,Table 2,AP-AM-8,8,Acropora pulchra,Amansia,Acropora pulchra-8,551,0.551
Coral_algal_contact,3/16/22,2,Table 2,AP-SN-8,8,Acropora pulchra,S nigricans turf,Acropora pulchra-8,400,0.4
Coral_algal_contact,3/16/22,2,Table 2,AP-SP-8,8,Acropora pulchra,S punctatus turf,Acropora pulchra-8,185,0.185
Coral_algal_contact,3/16/22,2,Table 2,AP-SG-8,8,Acropora pulchra,Sargassum,Acropora pulchra-8,517,0.517
Coral_algal_contact,3/16/22,2,Table 2,AP-E-8,8,Acropora pulchra,Empty,Acropora pulchra-8,561,0.561
Coral_algal_contact,3/16/22,2,Table 2,AP-MM-8,8,Acropora pulchra,Macroalgae mimic,Acropora pulchra-8,575,0.575
Coral_algal_contact,3/16/22,2,Table 2,AP-SG-9,9,Acropora pulchra,Sargassum,Acropora pulchra-9,461,0.461
Coral_algal_contact,3/16/22,2,Table 2,AP-TM-9,9,Acropora pulchra,Turf mimic,Acropora pulchra-9,498,0.498
Coral_algal_contact,3/16/22,2,Table 2,AP-AM-9,9,Acropora pulchra,Amansia,Acropora pulchra-9,456,0.456
Coral_algal_contact,3/16/22,2,Table 2,AP-SP-9,9,Acropora pulchra,S punctatus turf,Acropora pulchra-9,315,0.315
Coral_algal_contact,3/16/22,2,Table 2,AP-MM-9,9,Acropora pulchra,Macroalgae mimic,Acropora pulchra-9,512,0.512
Coral_algal_contact,3/16/22,2,Table 2,AP-SN-9,9,Acropora pulchra,S nigricans turf,Acropora pulchra-9,335,0.335
Coral_algal_contact,3/16/22,2,Table 2,AP-E-9,9,Acropora pulchra,Empty,Acropora pulchra-9,480,0.48
Coral_algal_contact,3/16/22,2,Table 2,AP-SN-10,10,Acropora pulchra,S nigricans turf,Acropora pulchra-10,354,0.354
Coral_algal_contact,3/16/22,2,Table 2,AP-SP-10,10,Acropora pulchra,S punctatus turf,Acropora pulchra-10,356,0.356
Coral_algal_contact,3/16/22,2,Table 2,AP-E-10,10,Acropora pulchra,Empty,Acropora pulchra-10,512,0.512
Coral_algal_contact,3/16/22,2,Table 2,AP-MM-10,10,Acropora pulchra,Macroalgae mimic,Acropora pulchra-10,526,0.526
Coral_algal_contact,3/16/22,2,Table 2,AP-AM-10,10,Acropora pulchra,Amansia,Acropora pulchra-10,518,0.518
Coral_algal_contact,3/16/22,2,Table 2,AP-TM-10,10,Acropora pulchra,Turf mimic,Acropora pulchra-10,503,0.503
Coral_algal_contact,3/16/22,2,Table 2,AP-SG-10,10,Acropora pulchra,Sargassum,Acropora pulchra-10,390,0.39
Coral_algal_contact,3/16/22,2,Table 2,AP-MM-11,11,Acropora pulchra,Macroalgae mimic,Acropora pulchra-11,463,0.463
Coral_algal_contact,3/16/22,2,Table 2,AP-SP-11,11,Acropora pulchra,S punctatus turf,Acropora pulchra-11,344,0.344
Coral_algal_contact,3/16/22,2,Table 2,AP-AM-11,11,Acropora pulchra,Amansia,Acropora pulchra-11,586,0.586
Coral_algal_contact,3/16/22,2,Table 2,AP-TM-11,11,Acropora pulchra,Turf mimic,Acropora pulchra-11,535,0.535
Coral_algal_contact,3/16/22,2,Table 2,AP-SN-11,11,Acropora pulchra,S nigricans turf,Acropora pulchra-11,407,0.407
Coral_algal_contact,3/16/22,2,Table 2,AP-E-11,11,Acropora pulchra,Empty,Acropora pulchra-11,546,0.546
Coral_algal_contact,3/16/22,2,Table 2,AP-SG-11,11,Acropora pulchra,Sargassum,Acropora pulchra-11,448,0.448
Coral_algal_contact,3/16/22,2,Table 2,AP-SP-12,12,Acropora pulchra,S punctatus turf,Acropora pulchra-12,427,0.427
Coral_algal_contact,3/16/22,2,Table 2,AP-SN-12,12,Acropora pulchra,S nigricans turf,Acropora pulchra-12,440,0.44
Coral_algal_contact,3/16/22,2,Table 2,AP-SG-12,12,Acropora pulchra,Sargassum,Acropora pulchra-12,584,0.584
Coral_algal_contact,3/16/22,2,Table 2,AP-MM-12,12,Acropora pulchra,Macroalgae mimic,Acropora pulchra-12,535,0.535
Coral_algal_contact,3/16/22,2,Table 2,AP-E-12,12,Acropora pulchra,Empty,Acropora pulchra-12,523,0.523
Coral_algal_contact,3/16/22,2,Table 2,AP-TM-12,12,Acropora pulchra,Turf mimic,Acropora pulchra-12,470,0.47
Coral_algal_contact,3/16/22,2,Table 2,AP-AM-12,12,Acropora pulchra,Amansia,Acropora pulchra-12,463,0.463
Coral_algal_contact,3/7/22,1,Table 1,PR-SN-1,1,Porites rus,S nigricans turf,Porites rus-1,387,0.387
Coral_algal_contact,3/7/22,1,Table 1,PR-TM-1,1,Porites rus,Turf mimic,Porites rus-1,397,0.397
Coral_algal_contact,3/7/22,1,Table 1,PR-E-1,1,Porites rus,Empty,Porites rus-1,467,0.467
